server_download,server_upload
10.5,10.4
10.8,10.6
10.8,10.5
10.3,10.2
10.8,10.5
9.78,9.65
10.7,10.5
10.5,10.1
10.7,10.5
10.4,10.2
10.8,10.6
10.8,10.6
10.3,10.1
9.09,8.96
10.7,10.5
8.93,8.80
9.72,9.59
9.73,9.60
9.54,9.41
10.7,10.4
10.4,10.1
10.0,9.82
9.62,9.47
10.9,10.4
10.8,10.6
9.30,9.16
9.86,9.40
10.8,10.6
10.7,10.5
9.82,9.67
10.4,10.3
10.8,10.5
10.5,10.3
10.4,10.3
10.9,10.6
10.7,10.5
10.7,10.4
10.5,10.5
9.88,9.62
9.54,9.41
9.97,9.74
10.3,9.98
9.53,9.34
9.91,9.75
9.85,9.71
9.82,9.68
10.6,10.3
10.5,10.3
10.9,10.6
10.5,10.3
9.86,9.72
10.4,10.2
10.5,10.2
10.9,10.3
9.91,9.77
10.8,10.5
10.8,10.6
9.63,9.14
9.93,9.76
10.8,10.6
10.7,10.5
10.8,10.4
10.8,10.4
8.83,8.72
10.4,10.2
10.4,10.3
10.8,10.5
9.74,9.61
10.8,10.6
9.63,9.49
10.8,10.6
10.8,10.6
9.93,9.77
10.4,10.2
10.8,10.6
10.8,10.5
10.8,10.6
10.7,10.5
9.96,9.70
10.8,10.8
9.57,9.43
10.5,10.4
10.4,10.2
10.5,10.2
10.7,10.5
10.7,10.5
10.4,10.2
10.7,10.5
9.00,8.86
9.97,9.77
9.78,9.63
9.84,9.67
10.8,10.6
10.7,10.4
10.6,10.4
10.8,10.5
10.7,10.5
10.7,10.5
9.95,9.70
10.7,10.5
