sdbm,int128decimal64,parity,rand,hamming,matrixprod,all_metrics,hd,memory
96379.69,1273.78,20829.25,15433.53,526.65,189.59,233.62,1050.07,30951.39
96749.73,1277.86,20722.59,15454.36,532.37,185.62,232.98,1050.84,31459.46
96295.16,1272.62,20912.67,15560.57,534.54,181.04,236.36,1052.19,31920.41
95732.05,1264.15,20995.82,15541.99,532.65,186.27,233.50,1052.25,32364.27
96498.32,1276.21,20827.88,15349.50,531.68,184.01,234.11,1052.01,32677.12
96227.49,1276.06,20883.40,15516.11,532.55,184.01,234.31,1052.17,33172.18
96626.87,1279.74,20923.15,15574.04,534.32,190.63,233.84,1052.12,33436.82
96984.11,1273.27,20763.84,15425.57,531.20,182.33,234.20,1052.07,33800.72
96611.54,1267.51,20794.16,15464.03,534.04,185.15,234.76,1051.78,34091.71
95868.58,1271.22,20907.65,15528.89,531.78,185.21,234.70,1052.00,34360.58
96396.77,1270.95,20673.47,15520.18,529.65,180.24,235.12,1051.81,34278.37
96715.64,1276.85,20926.20,15530.81,535.80,189.79,235.19,1052.61,34323.33
96807.79,1280.94,20951.35,15535.12,533.91,185.33,233.99,1052.18,34511.01
96392.27,1276.84,20887.57,15589.52,533.44,187.27,234.70,1052.19,34639.61
96606.47,1274.53,20891.34,15539.17,533.83,193.91,234.64,1052.26,34758.03
96590.91,1277.11,20897.70,15537.02,533.10,188.47,234.69,1052.17,34916.17
96596.40,1277.04,20932.44,15539.58,535.95,190.08,234.35,1052.47,35082.86
96297.07,1279.10,20958.20,15571.72,534.84,184.96,234.24,1051.98,35207.34
96264.57,1281.13,20863.60,15548.97,534.64,185.85,235.12,1052.12,35337.94
96395.97,1271.21,20931.75,15569.89,533.98,184.41,236.41,1052.39,35393.90
96353.06,1272.70,20963.91,15617.67,534.22,187.96,235.07,1052.15,35508.80
96915.55,1274.67,20907.03,15538.30,533.75,188.47,235.79,1052.20,35572.59
96248.66,1276.09,20927.38,15545.40,536.50,192.40,236.41,1052.05,35522.78
96644.87,1273.52,20939.53,15515.47,535.60,192.86,234.66,1051.90,35609.47
96373.97,1278.18,20913.24,15540.36,534.31,185.09,235.06,1052.07,35664.62
96627.45,1279.18,20885.83,15566.76,534.09,194.49,234.76,1051.98,35730.75
96363.09,1277.96,20944.30,15095.59,533.13,182.51,234.80,1051.49,35188.93
96232.05,1278.49,20941.06,14557.32,335.06,61.24,21.82,981.18,0.00
9424.37,123.60,2040.76,1511.95,51.33,17.90,21.73,979.38,35249.04
9780.95,123.36,2042.24,1516.91,52.31,18.07,21.82,978.70,0.00
9514.08,122.78,2046.40,1520.72,51.92,17.70,21.72,975.14,0.00
9415.92,123.40,2045.61,1515.72,52.16,17.51,21.74,978.96,0.00
