sdbm,int128decimal64,parity,rand,hamming,matrixprod,all_metrics,hd,memory
97216.53,1265.60,20702.52,15341.37,528.91,198.97,233.10,1049.72,31251.83
95654.79,1261.46,20395.22,15186.03,519.98,189.45,232.02,1050.81,31903.02
95426.63,1251.99,20549.34,15287.32,524.09,183.39,232.18,1051.67,32453.91
95792.48,1256.65,20538.68,15302.79,525.32,183.69,232.16,1051.96,32859.39
95948.05,1258.47,20523.22,15313.64,526.31,183.32,232.24,1052.00,33180.47
95402.12,1259.31,20567.53,15357.07,528.34,182.33,232.33,1051.92,33562.45
95501.92,1251.84,20586.84,15314.49,525.20,198.52,231.69,1051.01,33840.72
95798.40,1258.46,20630.74,15289.44,521.17,185.37,232.04,1051.89,34123.05
95368.50,1252.48,20596.01,15278.45,525.60,183.14,232.02,1052.26,34416.24
94472.91,1253.02,20553.72,15317.59,526.43,180.78,232.38,1051.79,34661.98
95626.92,1242.61,20605.54,15382.78,525.09,186.51,231.29,1051.02,34569.66
95382.70,1247.85,20495.25,15212.57,524.07,187.54,231.87,1051.92,34851.60
95394.82,1254.94,20612.75,15263.30,525.55,183.93,232.26,1052.40,35021.68
95593.90,1251.49,20526.62,15278.44,526.69,180.11,232.06,1051.97,35180.72
95255.79,1257.87,20544.74,15249.09,525.10,180.21,231.76,1051.76,35335.92
94731.40,1251.30,20483.79,15304.40,525.20,182.53,232.79,1051.78,35352.68
95288.48,1252.35,20528.11,15321.61,524.63,184.09,232.35,1051.97,35534.64
95503.76,1258.85,20606.15,15337.96,525.05,180.10,231.66,1051.65,35623.01
95004.02,1252.60,20403.13,15226.85,521.62,182.68,231.99,1051.87,35723.68
95613.54,1257.65,20490.10,15301.93,526.86,185.72,232.57,1052.01,35773.33
95224.28,1254.75,20576.07,15291.87,526.45,188.43,232.01,1051.13,35903.50
95506.67,1207.03,20450.67,15227.52,522.13,178.40,232.45,1051.85,32558.55
94600.98,1254.46,20539.90,15289.17,525.10,182.49,231.82,1051.64,32543.18
95499.70,1255.57,20671.96,15281.01,523.95,176.04,231.37,1051.83,36022.51
95446.71,1253.68,20557.45,15284.27,523.42,184.05,232.00,1051.54,32671.90
95014.81,1245.96,20467.65,15298.45,524.21,175.77,232.36,1051.85,36187.39
95067.67,1251.09,20555.75,15207.69,526.17,188.40,232.08,1051.74,32695.14
95287.34,1258.72,20564.12,15309.90,525.21,185.19,231.47,1051.83,32784.32
95695.56,1254.52,20548.84,15261.66,526.58,184.03,232.01,1052.35,32799.75
94986.48,1253.26,20590.01,15272.17,524.26,183.27,231.86,1051.87,32848.27
95396.79,1257.55,20517.65,15271.20,525.40,178.62,232.05,1051.74,32746.01
94970.24,1258.50,20681.52,15321.76,522.50,183.43,232.54,1051.95,32774.33
95398.42,1257.50,20532.24,15275.32,524.61,184.91,232.76,1051.61,32837.69
95516.05,1253.89,20542.68,15289.33,526.90,176.91,232.19,1051.88,32805.52
95384.86,1259.14,20585.52,15290.30,522.96,180.03,231.64,1051.88,32823.77
95913.00,1254.04,20539.25,15336.52,524.07,186.95,232.01,1051.86,32847.24
95442.90,1259.28,20567.53,15310.27,526.95,181.23,232.46,1052.33,32909.34
95540.06,1253.39,20554.58,15339.47,525.28,180.53,231.77,1051.78,32893.38
95649.37,1260.92,20628.33,15259.50,524.78,177.02,232.12,1051.55,32927.12
94893.40,1245.26,20458.40,15318.29,525.40,188.19,232.46,1051.26,32947.30
95505.03,1258.03,20611.32,15288.51,524.92,183.29,231.60,1051.46,36409.74
95194.56,1248.36,20631.51,15318.75,526.82,193.81,232.51,1051.69,32837.16
94869.13,1247.26,20538.79,15270.10,524.65,182.55,231.96,1051.82,32890.26
95426.07,1255.19,20618.46,15252.99,524.96,178.11,232.19,1051.97,32877.61
95573.27,1257.58,20509.37,15300.13,524.97,183.29,231.38,1051.75,32857.33
96045.48,1262.31,20629.50,15274.01,525.42,187.45,232.57,1051.15,32274.71
95378.79,1256.60,20566.95,15284.08,525.30,187.28,232.40,1052.32,35841.61
95551.68,1257.81,20571.50,15295.79,527.44,183.50,232.20,1051.79,32580.78
95456.97,1256.77,20503.87,15231.21,523.28,190.09,232.29,1051.63,36101.11
94584.77,1246.04,20452.39,15272.83,524.30,188.37,232.10,1052.02,32794.95
95754.43,1264.14,20650.82,15313.22,525.51,185.23,232.49,1051.92,32816.48
95934.39,1258.76,20547.73,15373.34,527.87,183.62,232.13,1051.98,32890.81
95613.81,1259.18,20675.28,15357.01,527.64,185.04,232.17,1051.57,32966.95
95568.94,1258.80,20605.36,15327.97,528.41,181.40,232.19,1051.91,36439.02
95926.77,1258.17,20669.83,15318.72,527.98,187.72,232.80,1051.91,32965.59
95647.44,1263.29,20635.83,15378.70,527.81,185.72,232.55,1051.94,32978.83
95714.13,1260.09,20618.59,15313.90,526.98,189.95,233.03,1051.98,33028.83
93723.33,1258.49,20570.31,15276.55,526.26,181.97,232.26,1050.89,32828.48
95771.07,1252.94,20617.31,15269.56,522.05,185.92,231.02,1051.97,32846.97
95383.95,1257.25,20557.34,15273.94,524.23,187.33,231.78,1051.92,32862.60
95162.49,1238.37,20498.01,15287.29,524.19,184.00,232.35,1043.27,32800.44
95253.28,1255.60,20549.59,15344.60,525.03,180.32,231.62,1051.86,32969.84
95338.94,1245.35,20472.62,15229.15,522.73,182.51,232.70,1051.79,32941.47
95420.76,1256.51,20419.20,15299.44,526.09,188.46,232.13,1051.91,32951.87
95434.58,1256.77,20634.89,15379.77,526.50,186.55,232.28,1051.37,32959.14
