sdbm,int128decimal64,parity,rand,hamming,matrixprod,all_metrics,hd,memory
97025.45,1384.75,22233.38,18881.12,616.66,275.41,261.34,1134.82,25263.80
99102.43,1384.78,22303.58,18792.30,616.11,272.86,259.59,1136.17,26737.69
98427.79,1376.50,22236.31,18829.26,616.38,276.25,261.54,1136.17,27809.05
98795.36,1381.75,22328.78,18831.50,616.50,275.51,261.26,1131.39,28424.01
98994.24,1390.02,22327.43,18886.09,616.56,275.46,261.41,1135.29,29301.66
97459.62,1392.01,22314.74,18869.06,614.89,274.43,261.74,1135.03,29657.82
99298.91,1380.54,21970.67,18777.61,615.14,269.07,261.27,1136.48,30133.82
98741.26,1381.27,22321.39,18608.93,616.21,273.85,261.10,1130.96,30374.33
98819.21,1383.52,22304.18,18806.82,616.36,275.67,261.21,1136.37,30605.39
99177.32,1388.21,22144.10,18689.97,607.97,274.72,261.37,1128.08,30611.75
98933.71,1386.60,22213.91,18770.50,615.07,274.85,257.97,1135.63,30592.18
99249.21,1388.25,22202.39,18761.83,615.86,275.08,261.02,1135.68,30672.14
98817.57,1390.51,22124.71,18832.28,614.75,273.86,261.23,1136.05,30540.74
99154.02,1388.43,22316.91,18805.99,612.15,274.22,260.72,1133.89,30639.24
98938.30,1387.91,22189.70,18722.39,610.35,274.16,261.25,1130.38,30723.42
99162.68,1391.96,22146.67,18855.64,616.14,274.93,260.65,1134.52,30814.54
99019.76,1389.41,22283.52,18542.68,615.28,274.94,260.75,1134.43,30915.67
98993.09,1391.55,22312.11,18796.51,614.57,271.57,256.90,1136.36,30991.94
98628.38,1389.40,22186.41,18554.16,610.29,275.03,260.36,1127.22,31052.48
98687.18,1384.69,22190.61,18829.78,614.29,275.29,261.43,1133.79,31104.68
99100.60,1392.29,22298.56,18702.06,616.11,274.75,261.63,1135.31,31147.99
99002.14,1385.32,22111.48,18655.24,615.31,273.78,261.46,1131.96,31186.08
98993.15,1376.19,21873.67,18753.95,602.98,275.21,260.44,1134.95,30982.90
99078.33,1375.04,22305.30,18780.38,611.32,275.00,258.34,1135.61,31031.68
98771.25,1383.74,22279.02,18837.15,616.82,275.22,256.15,1129.04,31058.13
98327.44,1387.99,22276.14,18767.00,615.46,275.79,261.71,1135.28,31098.23
99147.02,1391.36,22278.86,18800.01,613.51,271.58,261.16,1131.38,31100.28
98946.12,1389.12,22273.11,18831.18,613.50,274.93,261.00,1134.19,31106.07
98746.27,1383.63,22265.25,18843.49,616.35,271.16,261.54,1130.22,31106.92
99105.99,1390.75,22244.76,18801.21,615.18,275.01,260.29,1132.39,31146.81
98995.77,1387.82,22310.45,18771.77,612.23,271.36,261.01,1128.23,31076.81
98930.70,1388.55,22290.63,18811.01,614.98,274.06,260.05,1129.86,31099.93
98662.49,1385.80,22225.69,18827.53,614.57,271.30,260.24,1130.90,30713.54
98147.06,1386.97,22182.23,18819.52,615.55,275.05,261.18,1135.01,30901.29
99170.34,1390.29,22295.01,18525.38,612.67,272.22,260.62,1128.73,30898.72
98764.73,1388.72,22344.45,18733.68,612.61,274.80,261.24,1130.54,30773.83
99168.92,1386.61,21852.24,18851.21,614.38,272.46,260.25,1134.75,30695.11
98987.99,1361.49,22205.74,18839.03,615.76,275.50,255.70,1133.72,30813.44
98988.24,1384.61,22276.10,18823.28,609.54,272.62,261.27,1130.75,30849.19
98888.08,1391.90,22280.56,18837.39,615.69,274.70,259.39,1132.39,30928.91
98963.54,1376.88,22304.10,18815.86,613.35,274.39,260.96,1132.64,30967.21
99077.42,1380.12,21956.41,18742.88,613.92,274.46,260.06,1132.33,30798.75
98987.31,1379.94,22292.77,18777.18,608.35,272.83,261.01,1132.41,30861.36
98887.87,1385.22,22151.28,18762.33,615.60,275.49,261.05,1129.81,30909.99
99107.91,1383.16,22332.93,18739.36,614.30,275.21,260.28,1127.01,30955.46
98558.69,1376.01,22238.36,18806.60,611.21,274.38,260.72,1131.94,30882.08
98873.26,1388.63,22262.61,18836.07,614.88,272.27,260.11,1128.50,30906.60
98653.99,1390.21,22288.96,18821.10,614.71,275.42,261.21,1133.95,30972.72
98915.57,1384.12,22303.47,18844.61,615.03,273.57,261.11,1131.94,31019.61
98527.46,1386.30,22290.78,18789.03,614.74,274.75,261.30,1135.84,30896.75
99078.24,1390.34,22284.58,18821.04,615.62,267.72,260.97,1135.46,30926.56
99053.23,1380.10,22275.54,18741.80,613.18,270.94,261.52,1132.36,30975.83
99039.18,1389.47,22256.09,18843.76,615.14,274.10,260.95,1134.04,30985.10
97865.34,1389.71,22030.08,18824.00,615.67,273.24,261.54,1132.89,30908.07
99105.59,1385.87,22247.15,18845.68,612.19,269.41,260.10,1135.11,30662.83
99083.74,1374.60,22331.14,18843.92,617.05,273.05,256.63,1130.55,30682.24
99007.86,1392.40,22245.96,18842.10,615.08,275.10,260.15,1130.69,30685.16
98415.65,1392.74,22198.15,18801.71,615.01,274.59,260.73,1131.43,30690.79
99069.50,1387.40,22299.09,18865.56,613.66,274.31,256.14,1130.66,30764.70
99095.99,1390.07,22318.60,18818.91,617.18,275.22,261.30,1131.45,30806.07
99250.92,1389.57,22322.87,18823.55,614.03,273.38,261.76,1135.46,30874.03
98642.05,1383.14,22258.76,18825.73,616.32,274.30,260.21,1136.31,30822.07
99204.61,1388.38,22205.79,18847.86,613.55,274.84,260.29,1130.01,30763.55
99239.95,1389.68,22218.68,18784.99,614.53,274.31,260.22,1135.57,30655.27
98707.49,1391.37,22099.61,18784.98,615.94,272.33,260.65,1135.36,30726.04
99085.47,1385.47,22183.40,18811.67,615.27,272.81,260.83,1131.74,30747.93
98779.41,1383.84,22093.19,18750.30,613.55,273.79,256.07,1134.06,30771.55
98729.69,1387.81,22324.98,18821.19,614.05,274.73,261.02,1130.75,30819.41
98812.32,1390.09,22290.65,18835.63,614.69,275.33,261.38,1129.56,30851.61
99138.88,1387.60,22270.66,18755.21,615.45,276.41,261.02,1132.69,30852.60
99035.76,1385.38,22282.72,18810.91,613.94,274.96,260.46,1132.50,30917.71
99216.42,1385.95,22277.66,18840.18,613.02,275.54,261.34,1135.55,30911.99
98998.10,1385.27,22097.53,18782.41,615.54,275.30,259.63,1134.27,30792.17
98653.73,1388.02,22044.98,18751.12,616.21,275.68,261.39,1136.40,30824.35
98949.72,1385.81,22134.13,18834.09,615.85,271.95,260.84,1134.32,30838.62
98408.05,1387.51,22298.37,18844.06,612.76,275.76,261.02,1135.15,30888.32
98706.19,1391.32,22259.64,18795.71,612.34,274.83,261.14,1132.01,30914.88
98203.81,1381.92,22229.40,18829.99,616.20,275.38,261.51,1135.41,30801.24
98835.28,1385.04,22272.03,18830.23,614.96,274.76,260.59,1129.01,30819.83
99001.86,1377.20,22293.91,18867.40,615.78,271.88,260.95,1135.79,30842.32
98853.42,1385.97,22186.55,18713.33,616.92,275.29,259.98,1131.46,30536.34
98425.49,1380.83,22258.57,18801.29,615.93,274.64,260.34,1132.73,30539.73
98040.84,1386.37,22248.95,18853.86,616.33,273.00,261.62,1135.43,30568.45
98962.45,1385.73,22262.61,18852.71,612.46,274.12,261.11,1131.39,30608.89
98235.02,1385.92,22303.77,18789.12,612.40,274.49,261.53,1133.53,30537.71
97893.88,1389.18,22327.53,18765.25,615.52,274.13,260.63,1130.96,30577.73
98698.21,1390.09,22133.37,18776.36,615.10,263.19,260.93,1130.58,30638.19
97723.40,1358.80,22209.40,18785.95,610.65,272.23,261.47,1136.42,30671.89
98510.15,1387.22,22222.56,18813.51,605.91,271.63,260.85,1134.35,30772.01
98972.63,1381.38,22325.95,18836.76,615.93,275.66,261.24,1133.57,30813.87
98778.04,1383.07,22270.40,18830.87,615.89,275.40,261.56,1132.41,30528.79
98949.04,1392.22,22236.94,18835.53,614.82,274.92,261.16,1135.72,30561.67
98791.85,1392.55,22308.33,18842.99,615.75,274.66,261.26,1132.47,30529.65
99075.94,1385.71,22192.46,18711.42,615.53,275.24,261.04,1135.40,30592.32
99154.10,1391.20,22303.94,18862.54,616.49,274.90,260.33,1132.71,30637.30
99038.24,1391.10,22335.44,18809.42,616.47,274.78,261.11,1135.83,30643.16
98375.59,1389.95,22318.80,18788.45,612.21,275.64,261.26,1134.85,30665.41
79599.41,1381.46,22343.95,18828.33,616.20,274.23,261.62,1130.72,26646.12
98751.05,1390.20,22321.50,18831.74,615.71,275.15,261.09,1130.76,27517.00
99284.06,1388.52,22311.88,18814.20,613.97,272.84,261.64,1129.70,28136.09
