server_download,server_upload
554,554
854,854
457,456
548,548
554,554
523,523
482,482
499,499
515,514
527,527
469,468
575,574
559,558
596,596
570,569
399,398
412,411
334,333
298,298
211,211
298,297
232,232
185,185
195,195
170,170
223,222
233,233
196,195
189,189
170,170
180,179
237,237
136,135
197,197
212,212
223,223
213,212
212,211
154,154
232,232
230,230
227,227
247,247
198,197
223,223
225,224
216,216
258,258
247,247
264,264
279,278
299,298
255,255
270,269
277,276
266,265
232,231
289,288
200,200
253,252
241,241
251,251
239,239
283,283
311,310
271,271
265,265
302,301
285,284
289,288
290,290
245,245
306,305
261,260
223,223
297,296
311,310
253,253
302,302
285,284
300,299
216,216
242,242
283,282
291,290
256,256
272,272
271,271
255,254
246,245
76.6,76.4
119,119
155,155
222,221
213,212
152,152
281,281
215,214
251,250
225,224
